Feature,Gini_Importance
SGPA_Sem8,0.32726034295993445
SGPA_Sem7,0.2203588851054167
SGPA_Sem6,0.09090678236390669
Projects,0.08012194265964692
SoftSkillsRating,0.06897189869022229
MockInterviewScore,0.06680593656039296
Internships,0.03706836446719879
SGPA_Sem5,0.026992201013642685
HistoryOfBacklogs_No,0.026737318842457537
CodingTestScore,0.017244414936165558
CGPA,0.010479931646569796
HistoryOfBacklogs_Yes,0.0066673404529761235
AptitudeTestScore,0.005385367781697842
SGPA_Sem4,0.003312265141202674
CGPA_Tier,0.0031963055305047144
Certifications,0.0024931345414033954
SGPA_Sem1,0.001350302530527603
SGPA_Sem2,0.0013399527694786314
SGPA_Sem3,0.0011813721746757335
CollegeTier,0.0006892774301339276
Stream_CS,0.0004896396617873558
AttendancePercent,0.00044667470337622064
Publications,0.00021409071836167218
Workshops,0.0001781660202096382
City_Kolkata,3.8418716861568143e-05
City_Chennai,2.134176794358878e-05
City_Pune,2.1052272560216595e-05
ExtraCurricular,1.4134539338682558e-05
Gender_Male,1.3144001406056415e-05
Hostel_No,0.0
Hostel_Yes,0.0
Specialisation_Networking,0.0
Stream_Civil,0.0
Stream_ECE,0.0
Stream_EE,0.0
Stream_IT,0.0
Specialisation_AI,0.0
Stream_Mechanical,0.0
Specialisation_DataScience,0.0
Specialisation_Embedded,0.0
City_Ahmedabad,0.0
City_Bangalore,0.0
Gender_Female,0.0
City_Mumbai,0.0
City_Kochi,0.0
City_Jaipur,0.0
City_Hyderabad,0.0
City_Delhi,0.0
