Feature,Permutation_Importance,Standard_Deviation
Internships,0.018279999999999973,0.0017022338264762625
SoftSkillsRating,0.016329999999999966,0.0008741281370599858
Projects,0.009429999999999971,0.0020966878642277482
HistoryOfBacklogs_No,0.008409999999999973,0.0010034440691936946
SGPA_Sem8,0.005839999999999979,0.0011047171583713176
MockInterviewScore,0.003069999999999973,0.0011000454536063452
SGPA_Sem7,0.002409999999999979,0.000790506166958871
AptitudeTestScore,0.0019199999999999662,0.0009887365675446506
CodingTestScore,0.0016899999999999914,0.0009137286249209856
CGPA,0.0016699999999999714,0.0005622277118748435
HistoryOfBacklogs_Yes,0.0016299999999999648,0.0008025584090893284
SGPA_Sem6,0.0015399999999999858,0.001209297316626494
SGPA_Sem5,0.0015399999999999748,0.0014684685900624712
SGPA_Sem4,0.0013299999999999979,0.0004817675788178272
Stream_CS,0.0009599999999999831,0.0005063595560468882
SGPA_Sem2,0.00045999999999997155,0.00045650848842054316
CollegeTier,0.00043999999999996266,0.0004715930449020651
CGPA_Tier,0.0001399999999999846,0.0004247352116319194
Workshops,4.999999999999449e-05,0.00016278820596097912
Certifications,4.999999999997229e-05,0.0004780167361086949
SGPA_Sem1,2.9999999999985594e-05,0.0007861933604400383
City_Pune,1.9999999999997796e-05,3.9999999999995585e-05
City_Chennai,1.9999999999997796e-05,3.9999999999995585e-05
Publications,1.999999999996449e-05,0.0003340658617698097
Hostel_No,0.0,0.0
Specialisation_Networking,0.0,0.0
Hostel_Yes,0.0,0.0
Stream_IT,0.0,0.0
Specialisation_AI,0.0,0.0
Stream_Mechanical,0.0,0.0
Specialisation_DataScience,0.0,0.0
Specialisation_Embedded,0.0,0.0
Stream_Civil,0.0,0.0
Stream_ECE,0.0,0.0
Stream_EE,0.0,0.0
Gender_Male,0.0,0.0
City_Mumbai,0.0,0.0
City_Kochi,0.0,0.0
City_Delhi,0.0,0.0
Gender_Female,0.0,0.0
City_Bangalore,0.0,0.0
City_Jaipur,0.0,0.0
City_Hyderabad,0.0,0.0
City_Ahmedabad,0.0,0.0
AttendancePercent,-1.0000000000021104e-05,0.00032078029864691086
City_Kolkata,-4.999999999999449e-05,8.062257748297661e-05
ExtraCurricular,-6.99999999999923e-05,8.999999999999009e-05
SGPA_Sem3,-0.0004600000000000382,0.0006452906321960565
