Feature,Mean_Absolute_SHAP
SoftSkillsRating,0.5695557362412466
Projects,0.5408362014659871
SGPA_Sem8,0.539891433165448
Internships,0.4617866252804389
SGPA_Sem7,0.3749513015772291
MockInterviewScore,0.32477479948613697
HistoryOfBacklogs_No,0.26552888321859175
SGPA_Sem6,0.26113997906184766
AptitudeTestScore,0.20162879143637663
CodingTestScore,0.19577697758382664
SGPA_Sem5,0.18498176046440357
SGPA_Sem1,0.13019204195776105
HistoryOfBacklogs_Yes,0.12329846129825248
SGPA_Sem4,0.1150854477004439
CGPA,0.09456073523218092
SGPA_Sem3,0.06854288633456086
SGPA_Sem2,0.055446416781000984
CollegeTier,0.053915174500545594
Stream_CS,0.04862737779491289
Certifications,0.034279959923864387
CGPA_Tier,0.025355154043325737
AttendancePercent,0.020066495320044387
Publications,0.010650600900570913
ExtraCurricular,0.004932592160741755
Workshops,0.0035970667731603278
City_Kolkata,0.0023231410229847494
City_Pune,0.001681180509523195
City_Chennai,0.0006032220796513983
Gender_Male,0.00026402175210922947
City_Bangalore,0.0
Gender_Female,0.0
City_Ahmedabad,0.0
City_Mumbai,0.0
City_Kochi,0.0
City_Hyderabad,0.0
City_Jaipur,0.0
City_Delhi,0.0
Stream_Civil,0.0
Stream_ECE,0.0
Stream_EE,0.0
Specialisation_DataScience,0.0
Specialisation_AI,0.0
Stream_Mechanical,0.0
Stream_IT,0.0
Hostel_Yes,0.0
Hostel_No,0.0
Specialisation_Networking,0.0
Specialisation_Embedded,0.0
